Categorie;Inhoud 1;Inhoud 2;Inhoud 3;
Werk en inkomen;Het beteft een klacht over de GGD arts die voor DWI de keuring afneemt. Arts heeft aangegeven dat ze niet in aanmerking kan komen voor een dyslexie test, terwijl hij niet heeft verzocht om iets te lezen of schrijven. Hoe kan meneer dan tot deze conclusie komen? Ze heeft alleen maar bewegingen hoeven doen.;GGD arts, naam is helaas niet bekend.;Alsnog de mogelijkheid bekijken voor een test op dyslexie.<br />Heeft al scholing gevonden die nav positieve uitslag haar verder kunnen helpen.;
Overlast;Overlast amsterdam dance event;toestemming voor een dergelijk evenement had nooit gegeven mogen worden. ivm overlast en gebruik van verdovende middelen. Dat is een vorm van heling. Dat ik er last van had is vervelend. Dat 6 ouders hun kind nu ontberen mag niet vergeten worden;verbod. organisatie deugt niet ondanks uitingen van mr van der Laan;
Openbare ruimte;Mevrouw heeft rijbewijs aangevraagd, maar haar naam is verkeerd op het documenten gekomen. Er staat Zengin, echtgenoot van Zengin. In plaats van Gul, echtgenoot van Zengin of alleen Zengin.<br />Op haar verblijfsdocument staat wel gewoon haar meisjesnaam Gul en op haar paspoort dat ze net heeft aangevraagd staat ook alleen Zengin.<br /><br />De regelgeving omtrent de aanname van de naam van de echtgenoot bij mensen van Turkse nationaliteit is bekend, alleen Zengin echtgenoot van Zengin klopt niet. Mevrouw wil dat er komt te staan of alleen Zengin of Gul echtgenoot van Zengin.<br /><br />Afdeling burgerzaken heeft geadviseerd een klacht in te dienen. ;Baliemedewerker Burgerzaken;Een nieuw rijbewijs verschaffen met correcte naam: Of <br />- Gul echtgenoot van Zengin, of;
Openbare ruimte;Door het tegelijk afsluiten van 3 straten in Geuzenveld , Aalbersestraat, Slotermeerlaan en van Leeuwenlaan is er een gigantisch verkeersinfarct dat doorloopt tot ver in Slotermeer en Overtoomse Veld. Ik moest van de Sam van Houten straat naar de Seineweg en deed daar ruim een uur over terwijl dit normaal een stukje van 5 minuten is. En dat was nog niet eens tijdens de spits. Het moet ook erg fijn zijn voor de bewoners van de doorgaande wegen (wat daar van over is) om permanent ronkende, stinkende auto's voor de deur te hebben. Ik snap dat wegen dicht moeten voor wat dan ook, maar waarom meerdere wegen vlak bij elkaar? Ronduit belachelijk.;;Nadenken voor dat er meerdere straten dichtgegooid worden tegelijkertijd en in dezelfde buurt.;
Openbare ruimte;Op de ceintuurbaan kruising Van Woustraat zijn deze zomer nieuwe verkeerslichten (voor fietsers) geplaatst. De oorspronkelijke situatie had slechts een enkel stoplicht dat geldde voor fietsers en automobilisten. Het nieuwe verkeerslicht is als extra stoplicht geplaatst speciaal voor fietsers helemaal op de kruising. Tussen de twee verkeerslichten in, ligt echter een zebrapad met ook een voetgangersstoplicht.<br /><br />De beide verkeerslichten (autos en fietsers) zijn uiteraard gelijktijdig rood <wbr />/ groen.<br /><br />Probleem ontstaat wanneer de voetgangers groen hebben:<br />- de auto's staan voor het rode stoplicht<br />- de fietsers (die voorheen hier ook stopten) rijden nu door dit eerste licht heen, om bij het tweede licht te stoppen. <br /><br />Er wordt geen enkele rekening gehouden met de voetgangers. <br />Nog vervelender wordt het dat op dit kruispunt een kinderopvang zit. Ouders met kinderen (0-4) jaar, worden dagelijks ondersteboven gefietst op het zebrapad.;Ik neem aan dat er over nagedacht is en dat de extra stoplichten met een reden zijn geplaatst. Waarschijnlijk omdat er veel ongelukken gebeuren, maar dat is gissen.;De dubbele stoplichten verwijderen en van de verkeerssituatie een helder en overzichtelijk kruispunt maken. Twee stoplichten na elkaar is voor niemand uit te leggen. Er gebeuren regelmatig ongelukken op dit kruispunt. De nieuwe situatie maakt dit niet helderder.;
Openbare ruimte;Hallo, 20-11-14, straat verlichting van Limburg Stirumstraat is dat defect;;Verlichting aan, vijligheid ! ;
Openbare ruimte;Ik wil de klacht met <br />Referentienummer 2014-0266912 uitbreiden.;Openbare Ruimte Dhr Haaswijk zou terugbellen, had hij om 16.45  nog niet gedaan;Wat wilt u dat de gemeente gaat doen naar aanleiding van uw klacht:;
Openbare ruimte;Op 23 oktober heb ik voor het eerst gemeld dat een lantaarnpaal voor mijn deur niet werkt. Ik heb gevraagd per email op de hoogte gehouden te worden.<br />Lamp brandt nog steeds niet, ik heb na de eerste melding nog een volgende melding via de site gedaan, daarna nog een keer gebeld en vandaag ( 21november) is het nog steeds donker voor mijn deur en ik heb nooit een reactie gehad, noch via de mail, noch telefonisch .;;Lamp maken en mij uitleggen waarom het zo lang duurde en waarom ik niet op de hoogte gehouden wordt.<br />Ik voel mij nu onveilig in de straat omdat het erg donker is.;
Openbare ruimte;Ongeveer 2 weken geleden zijn in de Nathan F. Israelweg in Amsterdam Noord de Straatverlichtingsarmaturen vervangen in de hoge lantaarnpalen. Rond middernacht wordt het licht gedimt, en is het gewoon donker en luguber in de straat. Om  de hoek in de Thomas Prinslaan waren de lantaarnarmaturen 2 jaar geleden al vervangen, en daar brandt het licht gewoon volop. Ook gedurende de nacht. De donkere situatie in de Nathan F. Israelweg is gewoon onacceptabel in een woonwijk. ;Neen;Dat de Straatverlichting  gedurende de nacht gewoon volop brandt. Dat is ook een stukje inbraakpreventie. Ik hoop dat het dan niet meer zo luguber in de straat is. Temeer omdat ik zelf ook in wisseldiensten werkzaam ben, en ook in het holst van de nacht naar Schiphol moet, of van Schiphol thuiskom.;
Openbare ruimte;Ca. 2 jaar geleden is voor mijn deur een prachtig plein ontworpen en aangelegd. Het ligt op de kruising van de Bosboom Toussaintstraat met de Eerste Constantijn Huygensstraat.<br />Eergisteren zijn er opeens twee grote (electriciteits?) kasten op het plein geplaatst. De aanblik hiervan verstoort de kwaliteit van de ruimte en ik vind het daarnaast zonde van de energie die in de aanleg van het prachtige pleintje is gestopt. Wie beslist dit soort zaken, en waarom plaats men dit hier en niet op een minder mooie plek in de openbare ruimte. Zijn er geen stedenbouwkundigen meer in dienst van de gemeente die hier op letten?;Ik neem aan dat het in opdracht van de gemeente is geplaatst;Graag ontvang ik een verklaring waarom deze obstakels zijn geplaatst. Daarnaast verzoek ik de gemeente de obstakels snel op een andere locatie te plaatsen. Volgens mij zijn de kasten nog leeg en nergens op aangesloten dus is het nu nog eenvoudiger en goedkoper om ze te verplaatsen dan over een week het geval is. ;
Overig;Ik maak bezwaar tegen het onterecht stickeren van mijn fiets met chipnummer 510430114 ;de fietsenverwijderaars;zorgen dat het niet meer gebeurt;
Belastingen;b e z w a a r s c h r i f t !!!ik heb een uitkering en krijg steeds aanslag waternetbelasting en heb al meer dan 95euro betaald deze week en nu volgt er een aanslag van 260euro . denken jullie daar dat ik een geldboom in de tuin heb ? wat is dit voor een graaicultuur? bovendien heb ik kwijtschelding gehad dit jaar voor afvalstoffenheffing biljetnummer 35833240 jaar 2014 328,80euro kenmerk s360852 <wbr />/k1722226 dd 16juli2014;;dat ze eens en voor altijd beseffen dat ik van een uitkering moet rond zien te komen . ik heb vroeger altijd belasting betaald en door automatisering ben ik werkloos geraakt .nu word ik extra geplukt van mijn uitkerinkje !;
Parkeren;Beschikkingsnummer    50260377              <br />71-TLP-1                       <br />Instantie             Parkeerbeheer                                <br />Omschrijving          Parkeerboete                                 <br />overtreding                                                        I<br />Gemeente              Amsterdam                                    <br />Plaats                Amsterdam                                    <br />Locatie               Houtmankade                                  <br /><br />Datum                 08 november 2014                             <br />Tijdstip              13.02 uur                                    <br />Opgelegde sanctie      59,50        <br />    Uit mijn gegevens blijkt dat ik op 8 nov, 12:34 - 15:52 betaald heb<br />     via YB. zone code 16133 bedrag van 10,15 euro en nu een boete van<br />     59,50<br /><br />Yellow brick plaatje zit link voor op mijn voorruit. Auto stand mat de neus naar het water?<br />;Ik heb niemand gezien en er zat ook niet op mijn voorruit???;Keuring kwijtschelden daar ik al betaald had via Yellow Brick.;
Openbare ruimte;Sinds vorige week staat er bij de ingang van het Vondelpark (bij de Vondelbrug) een gebakskraam. <br />Het park wordt door veel Amsterdammers gebruikt om er te gaan sporten. Ik vind het dan ook niet kunnen om bij de ingang een kraam met zulk ongezond eten te plaatsen.<br />Veel toeristen gaan via deze ingang het park binnen. De ingang is op deze manier onzichtbaar. Ze lopen nu tegen zo'n afschuwelijke kraam aan. <br />Om dan nog maar niet te spreken van de lucht die om deze kraam heen hangt.<br />Volgens mij hoort zo'n kraam niet op deze plek in de stad en ik verzoek u dan ook hiervoor in de toekomst geen vergunning meer te verlenen.<br />;Nee, ik heb niet gezien dat de kraam werd geplaatst, die stond er gewoon ineens.;Ik zou graag zien dat de gemeente geen vergunning meer afgeeft om een gebaks- of oliebollenkraam te plaatsen voor de ingang van het Vondelpark.;
Openbare ruimte;kauwgum op de stoep. Overal vis en ongezond. Doe iets!;http:<wbr />/<wbr />/rt.com<wbr />/uk<wbr />/208035-chewing-gum-cleanup-costs<wbr />/;Verbieden de kauwgum!<br />http:<wbr />/<wbr />/rt.com<wbr />/uk<wbr />/208035-chewing-gum-cleanup-costs<wbr />/;
Parkeren;Hello,<br />The Saturday October 18th we spent a great time in Amsterdam! We arrived in Zeeburg II at 11 AM and drove off at 11:30 PM.<br />We think there was a problem with the P+R payment fee. On the parking machine there was a comunication: 'Error. No P+R parking discount' and we paid 24 euro for less than a weekend day! Why did we pay so extremely high charge?<br />In the attachment I'm sending parking ticket photo, if necessary, I can also send you a debit card payment proof.<br /><br />Best regards,<br />Dorota Wilkos;no;I am expecting the municipality to check the actual parking hours (hour on the ticket against hour of payment) and return the difference to the account. According to what is in the P&R terms, I should pay 1 euro instead of 24 euro.;
Overig;Geachte heer<wbr />/ mevrouw,<br /><br />Bij deze deel ik u mede, datiksinds aug 2013 een brief naar de gemeente Almere heb gestuurd waarvan ik tot op heden geen antwoord heb ontvangen na aantal telefoons ook niet.<br />Heb de gemeente in sept 2014 in gebreke gesteld waarvan ook tot op heden geen reactie ontvangen.;Ja heb de heer Sinnema geschreven.;Heb in gebreke gesteld en wil de vergoeding ontvangen.;
Werk en inkomen;*ik heb mijn baan kwijt 07<wbr />/01<wbr />/2014<br />* veel probleemen met huur te betaalen , ik hat geen achterstand        maar kon niet meer 1000euros huur alle inclusiv te betaalen<br />*sinds 31<wbr />/10<wbr />/2014 ik ben daklose met mijn zoon alexander ouzid geboeren om 19<wbr />/01<wbr />/2012;ik weet het niet meer ik was verstuurd van een afdeling naar an ander;ik will graag een oplossing voor een new start voor mijn zoon and ik ik kan niet bij vriend bleiven langer dan 2 maanden;
Openbare ruimte;Aan de Nieuwezijds Voorburgwal 84<wbr />/82 staat een groot transformator zuil waar veel mensen<wbr />/ondernemers last van hebben in de buurt. Door in de buurt gesprekken te voeren schrijven wij u deze brief, omdat de uitzicht van de winkels belemmerd wordt en zo gevaar kan vormen voor de overstekende voetgangers.<br />Vooral de ondernemers waar de transformator zuil zon 2 a 3 meter afstand van de winkels staat hebben er last van, omdat hun uitzicht belemmerd wordt door de grote stroomkamer. De transformator zuil vormt ook een gevaar voor de overstekende voetgangers die vanuit de Korte Lijnbaanssteeg komen, omdat zij het aankomende verkeer niet kunnen zien door de grote transformator zuil .<br />Wij (iedereen die de petitie heeft getekend) zouden willen dat deze transformator zuil verwijderd wordt zodat de burgers<wbr />/toeristen veilig kunnen oversteken en het uitzicht van de winkels niet belemmerd wordt.<br />;nee;deze  transformator zuil verplaatsen naar een andere plaats waar niemand last van krijgt.;
Werk en inkomen;ik wil aanvraag indienen voor collectieve zorgverzekering, maar vind ontrecht dar er naar inkomen 2013 word gekeken in plaats van nu. Ik kreeg ww in 20q3 en nu niet me man werkt als oproepkracht, tegenwoordig heeft niemand zekerheid op inkomen hierdoor vind ik dat er voor nu gekeken moet worden;nvt;ik wil graag in aanmerking komen met mijn man voor collectieve zorgverzekering;
Parkeren;De p+r arena was vol, toen zijn we doorverwezen naar p+r rai, keurig aangegeven op de a10 afslag s 109. Echter vlak voor de rai en daarlangs geen aanwijzingen meer,  ook niet op de drip. Toevallig kwamen we er op internet achter dat we bij P 1  P2 en P3 moesten zijn.<br />Met vriendelijke groet,<br /><br />Maarten;Nvt;Het zou mooi zijn als het na het verlaten van de afslag s109 ook aangegeven zou staan,  al of niet op een drip. Nu hebben we een half uur lopen zoeken.;
Openbare ruimte;Ik heb via een mailformulier een probleem aangekaart;De afhandeling van deze klacht is een slapstick. Blijkbaar is iemand gaan kijken en stuurt mij een mail met alleen daarin de woorden: op locatie geweest, niets aangetroffen. Op die mail kan ik niet reply-en dus doe ik het maar op deze manier.;Zorgen dat een klacht wat serieuzer behandeld wordt, als ze mij eerst hadden gecontacteerd dan had ik wat kunnen uitleggen. Bovendien vind ik het ridicuul dat ik op zondag zo'n mail krijg zonder uitleg maar vooral zonder naam of emailadres waar ik naar terug kan mailen.;
Openbare ruimte;mevr. heeft klachten over de mensen van reiniging omdat zij met een blazer de straat schoonmaken waardoor haar raam onder het stof komt te zitten en onder de deur door stof binnen komt;reiniging;het niet meer wegblazen van het vuil en stof omdat het zinloos is, na enkele uren is het precies weer hetzelfde. Mevr. geeft aan dat ze het zelf doet als het erg  vuil is.;
Overig;telefonische bereikbaarheid, ik zit op dit moment al 20 minuten in de wachtstand, zonder enige tussentijdse informatie.;nee;de telefonische beriekbaarheid verbeteren.;
Parkeren;Betr. verbalisantnummer:071454 - R584<br />Nadat we van een ziekenbezoekje aan mijn nicht mevr. Gees<br />Behrends-Bakker woonde in de Huntum 58 naar onze camper terugkeerde,bleek dat we een procesverbaal hadden gekregen van  90,00.<br />Mijn man en ik waren van ca. 11.00 uur tot 12.30 uur op ziekenbezoek en omdat er WERKZAAMHEDEN waren in de wijk, konden we NIET vor het huis van onze Familie parkeren.We heeben de camper toen aan de kant van de straat geparkeerd, zodat er nog voldoende ruimte was voor het overige verkeer.<br />Mijn vraag is nu of het mogelijk is deze procesverbaal ongeldig te maken.;;;
Parkeren;Wegomkering Camperstraat.<br />De weg is omgekeerd ivm Ambulance denk ik (geen info bij bewoners) <br />Misschien een bord neerzetten voordat je de weg afslaat in de Ruyschstraat? Er is geen overzicht op links staat een plantenbak in de weg .<br />We missen meteen weer veel parkeerplekken Stuk of 6?<br />We moeten steeds meer betalen maar er komen steeds minder plekken .<br />Tevens is er in de Ruyschtraat  ook minder plek en staan er steeds Canta luxe autootjes op parkeerplekken (die betalen niet volgens mij)<br />;Ga er wel vanuit waarschijnlijk opdracht via gemeente;Herstructurering? <br />Camperstraat meer inrijparkeerplekken en plekken aan de Linkerkant laten vervallen ..ivm veiligheid Ambulance en op links  fiets parkeerplekken maken.;
Onderwijs, jeugd en zorg;cl heeft  in november bericht ontvangen vanuit het cak (een flyer) dat de korting (wtcg) wordt afgeschaft. dit wordt overgeheveld naar de gemeente amsterdam. Cl vindt dat er erg weinig in1formatie hierover beschikbaar is bij de gemeente. Ze wil weten waar zij aan toe is volgend jaar.;nvt;Meer duidelijkheid verschaffen hierover het liefts begin december;
14020;Klant belt naar DBGA met vraag over kwijtschelding (subject 502931). Klant vindt dat zij onvoldoende geinformeerd en onheus bejegend is: Collega liet haar niet uitpraten en gaf geen bevredigende informatie. Collega verbrak de verbinding terwijl klant nog meer vragen had.;CCA Agent S. Elburg;Betere dienstverlening: klant(en) laten uitpraten, beter luisteren, meer geduld <wbr />/ begrip tonen.;
14020;Ik heb hedenm orgen meerdere malen verzocht de handhaving ivm het illegaal kappen van <br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br />Ik<br /><br /><br /><br />Ik heb hedenmorgen meerdere malen verozocht de dienst handhaving langs te sturen ivm het illegaal kappen van een tweede boom aan de admiraal de ruyterweg 316 hs te amsterdam<br />De dienst had mij 2 weken geleden verteld dat wanneer ik direkt bel met de handhaving de werkzaamheden gestaakt kunnen worden,er wordt niet direkt ingegrepen nu is de 2e boom aan de beurt,ik voel mij in de maling genomen ik bel voor niets,het antwoord was ze zitten te eten!!!<br />Ik<br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br />;De dienst handhaving,moranr 0260519;Het loket vergunning voor het kappen en snoeien van bomen opheffen,het blijkt dus dat iedereen gewoon kan kappen zonder vergunning, de dienst handhaving komt niet kijken,doet dus ook niets kan ook zo opgeheven worden,er was inderdaad een dag later geconstareerd dat er illegaal is gekapt! daar doen we niets mee,nu bel ik 4x deze morgen weer niks gebeurd! Dus iedereen doet maar wat,;
Basisinformatie;Ik zou recht hebben op korting met het stadspasbonnetje november bij Primera maar ik kreeg de kaart niet. De medewerksters weigerden mij een kaart te verkopen met korting van de stadspas (25 euro korting). Ze deden eigenlijk net of ze niet goed begrepen wat ik bedoelde terwijl ik het bonnetje nog in haar handen drukte. Samen met haar collega hielden ze zich voor de domme terwijl ik luid en duidelijk om 1 kaart vroeg met de stadspaskorting op een voorstelling van Hans Klok. Ik was in het filiaal Molenwijk te Amsterdam. Ik heb geen voorkeur voor rang uitgesproken. Het was gewoon niet mogelijk. KLAAR>;Nee, 2 medewerksters van Primera.;Ik vind dat u de kaartverkoop niet op deze manier kan promoten als de korting punt bij paaltje niet weggegeven wordt. Het is mij niet duidelijk of de medewerkster namens Post.nl verkoop weigert of namens Primera. U heeft het aangeboden via Primera.<br />Maar het scherm waar de dame keek, stond op de Post.nl balie.;
Overig;Meneer is onheus bejegend door een medewerkster van de stadsbank d.d 24-11-2014 omstreeks 12.30 uur. Door een andere medewerker is meneer wel correct behandeld.;Ja, naam niet bekend;Meneer wenst een persoonlijk excuus van betrokken medewerkster.;
Parkeren;ik heb 2 klachten over parkeren. Zaterdag heb ik een nieuwe auto gekocht en mijn oude verkocht. Vanochtend, 24 november ben ik naar het Stadsdeelkantoor Noord geweest om mijn vergunning over te zetten. Wat schetst mijn verbazing: Bij elk ander stadsdeel kan je je vergunning via Cition gratis op kenteken over zetten maar niet als het gaat om een ontheffing van een blauwe zone. Nu moet ik 94 euro betalen voor een nieuwe vergunning of ca. 40 euro voor mijn oude die tot maart 2015 geldig is. Waarom meet u met 2 maten?<br />Klacht 2 is dat ik vanochtend door uw baliemedewerker mw  A. Pauw als mededeling krijg dat er geen blauwe vergunningen meer zijn (deze zijn op) en dat ik daarom geen vergunning kan ontvangen.ook kan ze geen alternatief bieden en niet duidelijk is wanneer deze wel voorradig zijn. Dit betekent dus dat ik mijn auto niet kan parkeren vanaf vandaag door schuld van u als gemeente en ik deze auto noodgedwongen in een andere wijk moet zetten waar mijn auto niet veilig staat. ;Ja, vanochtend tevergeefs naar het stadsdeelkantoor gereden. Ik heb nl geen parkeervergunning ontvangen omdat u in gebreke bent  door niet tijdig vergunningen op voorraad te hebben. Ik heb onnodig kosten gemaakt van en naar het Stadsdeelkantoor;direct telefonisch contact zoeken met mij en een vervangende vergunning regelen en mij tegemoet komen in de kosten door een nieuwe blauwe parkeervergunning van 94 euro te verstrekken zonder kosten in rekening tre brengen. Wijzigen van de verordening die stelt dat je met een ontheffing blauwe zone opnieuw een vergunning moet aanschaffen bij wijzigen kentekenplaat. deze gelijk stellen aan elke andere parkeervergunning wat betreft kosten.<br />;
Belastingen;Ik heb een huis gekocht in Amsterdam (Da Costakade 21-I) en moest bij de notaris mijn woonadres in Nepal opgeven. Ik wist niet de belasting dienst vervolgens aanslagen naar mijn woonadres zou sturen. ER IS GEEN POSTBESTELLING in NEPAL. Dus nu krijg ik via adres Da Costakade 21-I opeens dreigbrieven, tot en met inbeslagname. Terwijl er niets aan de hand is. ik heb nooit post ontvangen;NVT;Ik zou heel graag willen dat de gemeente mijn adres verandert van Nepal naar de Da costakade 21-I. En ik wil een automatisch incasso formulier om deze toestanden te voorkomen. Ik wil ook dat de gemeente de extra kosten aan mij terug betaalt;
Werk en inkomen;1. het weigeren van een bijstandsuitkering<br />2. het niet reageren op mijn beroep na de hoorzitting<br />3. het niet beantwoorden van de telefoon bij kiezen  <br />doorkiesnummer 020-5256781;M. Groot<wbr />/kenmerk;Wat wilt u dat de gemeente gaat doen naar aanleiding van uw klacht:;
Overig;My bicycle has been taken away because it stayed more than 2 weeks at the same place. <br />When I went to the Fietsdepot to pick it up, my lock was not there anymore. Of course I understand that they needed to cut my lock, but I could still use the same chain again.<br />I don't think it is a normal service from them, and I want to report it and eventually get another chain<wbr />/lock from them.<br />How can I claim for it ?<br />Regards,;;;
Openbare ruimte;Ten gevolge van onjuist handelen door de gemeente is vertragingsschade ontstaan. ;Ja, dhr. Oudeboon en mw. Spiegelenburg;Schade vergoeden;
Overig;Bij de Gemeentelijkeombudsman kan ik niet terecht met deze klacht. Bij Waternet kan ik de klacht indienen, maar dat is als de slager die zijn eigen vlees keurt. Bovendien heb ik al geklaagd maar ik krijg een antwoord met de strekking 'het is zoals het is'. <br />Ik woon in een koophuis in Buitenveldert. Een 3-kamerwoning. Nu krijg ik sinds ik hier woon een maandelijkse factuur van waternet voor het drinkwater. Deze factuur bedraagt  51,99.<br />Ik woon alleen. Ik heb zo eens om mij heen gevraagd, maar er is geen mens die zoveel betaalt per maand aan Waternet voor het huishoudelijk water. Ik betaal dus ongeveer 600 euro per jaar!!!<br />Ik heb Waternet gevraagd, die zeggen het bedrag te baseren op het aantal eenheden in mijn huis. Raadselachtig, want ik gebruik toch geen water in mijn huiskamer of slaapkamer? Ik heb alleen een douche en een keuken. Toch betaal ik voor 4 eenheden. Een raadselachtige manier van berekenen als je t mij vraagt. En 51,99 pm voor 1 persoon is buiten proportie.;Nee;Ik zou graag willen dat kritisch gekeken wordt naar de bedragen die Waternet factureert. Waarom kan de schatting niet gebaseerd worden op het aantal mensen in het huishouden, net als bij de afvalstoffenheffing e.d? Ik betaal nu meer watergeld per maand dan bv een gezin met 4 kinderen. En iets terugkrijgen doe ik ook niet, want ik heb geen watermeter dus Waternet weet nooit hoeveel ik werkelijk verbruik. De kans is groot dat ik gewoon 300 per jaar te veel betaal aan Waternet en dat geld ben ik gewoon kwijt. Dat is nogal makkelijk incasseren zo, als je t mij vraagt.;
Openbare ruimte;Het grasveld dat parallel ligt aan de eastonstraat (kruising lelylaan <wbr />/meer en vaart) word aan de kant van de lelylaan netjes onderhouden, maar aan de kant van de woningen totaal niet, een tijd geleden was er hele erge storm, de takken die naar beneden zijn gekomen worden niet weggehaald, nu is de herfst begonnen en  ligt het vol met bladeren dit hoopt op en is nu erg aan het stinken, maar aan de kant van de lelylaan worden wel de takken en bladeren verwijderd, hoe komt dit?;;bladeren en takken tijdig verwijderen, en dit ook regelmatig doen net als aan de andere kant van het veld dat grenst aan de lelylaan.;
Openbare ruimte;Melder legt uit dat zij grofvuil aanbood toen de grofvuil ophaaldienst buiten bezig was met grofvuil ophalen. De dienstdoende medewerker nam echter maar een deel van het grofvuil van de melder<wbr />/ klager mee. De klacht gaat echter om de brutale manier waarop de medewerker<wbr />/ ambtanaar de melder te woord stond. Ging heel bot met haar om. Sprak haar heel onbeschoft aan. Maar ook dat hij niet alle grofvuil mee heeft genomen.;nvt;Wil herhaling voorkomen. En voorkomen zo te woord gestaan te worden.;
Openbare ruimte;Op maandag 17 nov. parkeerde ik mijn auto op de brug Westerstraat <wbr />/ Lijnbaansgracht. Hier bevinden zich sinds jaar en dag 6 parkeerplaatsen. Toen ik op zondag 23 nov. mijn auto daar weer aantrof, bleek de trottoirband ondertussen geel gespoten, dit zonder enige vooraankondiging. Daarbij werde het rechter voor- en achterwiel van mijn auto ook meegespoten. Hier is sprake van laakbaar handelen. Een schadevergoeding lijkt mij hier dan ook op zijn plaats. Nieuwe banden en wieldoppen kosten tesamen zo'n 250 euro.;Verkeersbeheer.;Mij een schadevergoeding betalen.;
Openbare ruimte;Mevrouw is drie weken geleden langsgeweest bij het stadsdeelkantoor Centrum, afdeling burgerzaken om een bewijs van garantstelling aan te vragen. Mevrouw zegt dat zij alleen voor het formulier 14,95 euro moest betalen en het later ingevuld moest inleveren. Bij het opnieuw inleveren is er aangegeven door een medewerker aan de balie dat het formulier teveel bladzijden bevat en dat zij een nieuw formulier nodig heeft. Dat nieuwe formulier bestaat uit 2 bladzijden en het vorige formulier uit ong. 12 blz. Nu moet mevrouw het ingevulde formulier laten legaliseren, maar dan moet zij opnieuw 14,50 euro betalen. De vorige betaling schijnt niet te vinden te zijn. Mevrouw vindt dat vreemd en weigert opnieuw te betalen. Na het navragen bij verschillende afdelingen wil mevrouw alsnog een klacht hierover indienen. ;-;Mevrouw wil dat de vorige betaling getraceerd wordt zodat zij niet opnieuw hoeft te betalen. ;
Werk en inkomen;Sinds start IOAW uitkering in augustus 2013 tot en met einde uitkering in september<wbr />/oktober 2014 is er inconcistency in de maandelijks berekende bruto en netto uitgekeerde bedragen en zijn de berekeningen voor een gewoon mens niet te volgen. Daarnaast is er geheel ten onrechte dit jaar een correctie van 657,26 toegepast, zonder specificatie en het waarom hiervan niet uitgelegd. Door ons verlangde en diverse keren verzochte en door DWI toegezegde afspraken (ook omtrent nadere uitleg en specificaties) zijn sinds augustus 2014 tot op heden om onbegrijpelijke reden niet tot stand gekomen.;Mw M. Geelhoed en Mw. S. Karagoz;De door DWI sinds start van onze IOAW-uitkering aan ons nog verschuldigde bedragen in te lage maandelijkse uitkeringen en onterecht ingehouden correctie alsnog en met grootste spoed aan ons bij DWI bekende banknummer overmaken, en wel als volgt:<br /><br />1) De IOAW uitkering vanaf start (aug 2013) voor elke maand opnieuw berekenen en opnieuw vaststellen. Zie mijn eerder bij Mw Karagoz ingediende Excel-spreadsheet met daarin al diverse eerdere bezwaren opgesomd.<br />2) Alle bedragen vanaf start IOAW uitkering (aug 2013) tot en met laatste maand van uitbetaling (okt 2014) middels gedetailleerde specificaties aantonen en ter controle aan ons toesturen.<br />3) De door Mw S. Karagoz aan ons gemelde maar geheel onterechte -en niet aan ons gespecificeerde- correctie over periode Mei-Juni 2014 ongedaan maken.<br />4) De hieruit volgend onstane tegeoden z.s.m. aan ons uitbetalen op onze bij DWI bekende bankrekeningnummer.;
Parkeren;Ik heb een boete ontvangen. Dit is niet juist omdat ik in mijn parkeerapp het bewijs van betaling heb van het moment van parkeren.;Nee. Op het moment dat ik een perkeerplek zocht reedt er een cition auto voorbij dus ik denk dat daar het probleem onstaan is.;De boete terugtrekken<wbr />/ongedaan maken. Dit is de 3e keer dat ik contact zoek mbt de boete en het niet juist zijn daarvan.;
Openbare ruimte;Vanavond stond de Anna Blamansingel in Venserpolder helemaal vol met autos. Er mag in Venserpolder alleen worden geparkeerd in de parkeervakken en die zijn er niet in deze straat! Wij als bewoners kunnen amper onze garage in rijden omdat deze autos in de weg staan! Graag duidelijker aangeven dat er op de Anna Blamansingel niet geparkeerd mag worden met borden s.v.p.;Nee;Boetes uitdelen, wegslepen wat er ook nodig is! Maar ook duidelijkere borden plaatsen met informatie!;
